Frame: 141, ID: 14, Speed: 2.4 km/h
Frame: 141, ID: 18, Speed: 30.1 km/h
Frame: 142, ID: 8, Speed: 6.1 km/h
Frame: 142, ID: 14, Speed: 2.4 km/h
Frame: 142, ID: 16, Speed: 2.8 km/h
Frame: 142, ID: 18, Speed: 29.6 km/h
Frame: 143, ID: 8, Speed: 6.5 km/h
Frame: 143, ID: 14, Speed: 2.4 km/h
Frame: 143, ID: 16, Speed: 2.8 km/h
Frame: 143, ID: 18, Speed: 28.7 km/h
Frame: 144, ID: 8, Speed: 6.7 km/h
Frame: 144, ID: 14, Speed: 2.5 km/h
Frame: 144, ID: 16, Speed: 2.7 km/h
Frame: 144, ID: 18, Speed: 27.4 km/h
Frame: 145, ID: 8, Speed: 6.9 km/h
Frame: 145, ID: 14, Speed: 2.5 km/h
Frame: 145, ID: 16, Speed: 2.7 km/h
Frame: 145, ID: 18, Speed: 26.5 km/h
Frame: 146, ID: 8, Speed: 7.0 km/h
Frame: 146, ID: 14, Speed: 2.5 km/h
Frame: 146, ID: 18, Speed: 25.5 km/h
Frame: 147, ID: 8, Speed: 7.1 km/h
Frame: 147, ID: 14, Speed: 2.6 km/h
Frame: 147, ID: 18, Speed: 23.3 km/h
Frame: 148, ID: 8, Speed: 7.4 km/h
Frame: 148, ID: 14, Speed: 2.6 km/h
Frame: 148, ID: 18, Speed: 21.0 km/h
Frame: 149, ID: 8, Speed: 7.9 km/h
Frame: 149, ID: 14, Speed: 2.8 km/h
Frame: 149, ID: 18, Speed: 20.0 km/h
Frame: 150, ID: 8, Speed: 7.8 km/h
Frame: 150, ID: 14, Speed: 2.7 km/h
Frame: 150, ID: 18, Speed: 18.5 km/h
Frame: 151, ID: 8, Speed: 7.8 km/h
Frame: 151, ID: 14, Speed: 2.8 km/h
Frame: 151, ID: 18, Speed: 17.0 km/h
Frame: 152, ID: 8, Speed: 7.9 km/h
Frame: 152, ID: 14, Speed: 2.8 km/h
Frame: 152, ID: 18, Speed: 17.0 km/h
Frame: 153, ID: 8, Speed: 7.9 km/h
Frame: 153, ID: 14, Speed: 2.8 km/h
Frame: 154, ID: 8, Speed: 8.1 km/h
Frame: 154, ID: 14, Speed: 2.8 km/h
Frame: 154, ID: 19, Speed: 4.8 km/h
Frame: 155, ID: 8, Speed: 8.5 km/h
Frame: 155, ID: 14, Speed: 2.9 km/h
Frame: 155, ID: 19, Speed: 7.7 km/h
Frame: 156, ID: 8, Speed: 8.5 km/h
Frame: 156, ID: 14, Speed: 2.8 km/h
Frame: 156, ID: 19, Speed: 6.6 km/h
Frame: 157, ID: 8, Speed: 8.7 km/h
Frame: 157, ID: 14, Speed: 2.8 km/h
Frame: 157, ID: 19, Speed: 6.3 km/h
